,molecular weight,LogP,number of rings,number of aliphatic carbocycles,number of aliphatic heterocycles,number of aromatic rings,topological polar surface area,NH and OH number,NO number,number of hydrogen acceptors,number of hydrogen donors,number of valence electrons,number of rotatable bonds,number of radical electrons,pIC50
CHEMBL117716,624.247851872,-0.24842999999999366,4.0,0.0,1.0,3.0,219.7,8.0,14.0,8.0,7.0,234.0,12.0,0.0,5.9
CHEMBL50117,396.25252626400004,3.104470000000001,3.0,2.0,0.0,1.0,99.28,4.0,6.0,3.0,3.0,156.0,7.0,0.0,6.05
CHEMBL108952,557.2597964600001,-0.6088999999999953,2.0,0.0,0.0,2.0,235.3,9.0,14.0,8.0,7.0,216.0,15.0,0.0,7.72
CHEMBL3142655,487.247106536,3.4704000000000033,4.0,0.0,1.0,3.0,93.89,3.0,7.0,5.0,2.0,188.0,9.0,0.0,7.3
CHEMBL433275,436.21105537600005,2.03367,3.0,1.0,0.0,2.0,134.37,5.0,8.0,5.0,4.0,168.0,8.0,0.0,4.69
CHEMBL45692,370.2368762,2.45207,3.0,2.0,0.0,1.0,108.07,5.0,6.0,3.0,4.0,146.0,6.0,0.0,5.88
CHEMBL3142745,455.257277296,4.070040000000002,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,176.0,7.0,0.0,7.42
CHEMBL431443,555.2805319040001,0.28870000000000356,2.0,0.0,0.0,2.0,215.07000000000002,8.0,13.0,7.0,6.0,216.0,15.0,0.0,7.37
CHEMBL3142679,443.22089178799996,3.158800000000001,4.0,0.0,1.0,3.0,95.66000000000001,4.0,6.0,4.0,3.0,170.0,7.0,0.0,6.8
CHEMBL3349684,448.283826392,2.7705,4.0,1.0,1.0,2.0,101.45,5.0,6.0,4.0,3.0,176.0,7.0,0.0,10.0
CHEMBL420322,589.24310084,-1.616529999999993,3.0,0.0,1.0,2.0,232.58999999999997,8.0,15.0,9.0,7.0,222.0,13.0,0.0,5.6
CHEMBL111195,591.301661272,-0.2205999999999959,2.0,1.0,0.0,1.0,241.37000000000003,8.0,15.0,9.0,6.0,232.0,15.0,0.0,7.8
CHEMBL3142785,441.241627232,3.7616200000000024,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,170.0,7.0,0.0,6.22
CHEMBL116245,555.255379776,-1.1998299999999937,3.0,0.0,1.0,2.0,224.74999999999997,8.0,15.0,9.0,7.0,214.0,11.0,0.0,5.6
CHEMBL322178,555.2805319040001,0.28870000000000356,2.0,0.0,0.0,2.0,215.07000000000002,8.0,13.0,7.0,6.0,216.0,15.0,0.0,6.59
CHEMBL320707,541.26488184,0.4187000000000032,2.0,0.0,0.0,2.0,215.07000000000002,8.0,13.0,7.0,6.0,210.0,14.0,0.0,7.14
CHEMBL320351,541.26488184,0.4187000000000032,2.0,0.0,0.0,2.0,215.07000000000002,8.0,13.0,7.0,6.0,210.0,14.0,0.0,6.51
CHEMBL3142678,455.257277296,4.070040000000003,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,176.0,7.0,0.0,6.51
CHEMBL3142752,441.241627232,3.7616200000000024,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,170.0,7.0,0.0,7.0
CHEMBL115902,624.247851872,-0.24842999999999454,4.0,0.0,1.0,3.0,219.7,8.0,14.0,8.0,7.0,234.0,12.0,0.0,6.27
CHEMBL49808,368.221226136,2.3721699999999997,3.0,2.0,0.0,1.0,108.07,5.0,6.0,3.0,4.0,144.0,6.0,0.0,5.82
CHEMBL416904,362.174275944,2.5619700000000005,3.0,1.0,0.0,2.0,108.07,5.0,6.0,3.0,4.0,138.0,6.0,0.0,5.31
CHEMBL321268,585.25471108,-0.4281999999999948,2.0,0.0,0.0,2.0,241.37000000000003,8.0,15.0,9.0,6.0,226.0,15.0,0.0,8.08
CHEMBL289840,398.26817632800004,3.1843700000000004,3.0,2.0,0.0,1.0,99.28,4.0,6.0,3.0,3.0,158.0,7.0,0.0,4.88
CHEMBL3142667,427.225977168,3.4532000000000016,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,164.0,7.0,0.0,6.89
CHEMBL3142799,512.31512652,4.1455800000000025,4.0,0.0,1.0,3.0,101.45,5.0,6.0,4.0,3.0,200.0,8.0,0.0,4.95
CHEMBL298879,382.2368762,2.61977,3.0,2.0,0.0,1.0,108.07,5.0,6.0,3.0,4.0,150.0,7.0,0.0,5.03
CHEMBL273196,416.253588884,-0.45459999999999523,2.0,0.0,1.0,1.0,142.91,6.0,9.0,5.0,4.0,164.0,11.0,0.0,7.90625
CHEMBL3142680,484.283826392,3.5287400000000018,4.0,0.0,1.0,3.0,101.45,5.0,6.0,4.0,3.0,188.0,8.0,0.0,7.41
CHEMBL49082,412.24744088400007,3.0360700000000005,3.0,2.0,0.0,1.0,108.51,4.0,7.0,4.0,3.0,162.0,8.0,0.0,6.06
CHEMBL3142676,495.148032464,4.760000000000004,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,176.0,7.0,0.0,6.35
CHEMBL49757,378.205576072,2.3195699999999997,3.0,1.0,0.0,2.0,108.07,5.0,6.0,3.0,4.0,146.0,7.0,0.0,4.35
CHEMBL419202,563.3067466520001,-0.40129999999999644,2.0,1.0,0.0,1.0,235.3,9.0,14.0,8.0,7.0,222.0,15.0,0.0,7.72
CHEMBL17646,376.189926008,2.2396699999999994,3.0,1.0,0.0,2.0,108.07,5.0,6.0,3.0,4.0,144.0,7.0,0.0,4.95
CHEMBL3142739,495.148032464,4.760000000000004,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,176.0,7.0,0.0,6.59
CHEMBL3142553,470.268176328,3.519200000000003,4.0,0.0,1.0,3.0,78.67,3.0,6.0,4.0,2.0,182.0,8.0,0.0,5.4
CHEMBL3142750,461.18700481599996,4.106600000000003,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,170.0,7.0,0.0,7.92
CHEMBL3142700,505.136489236,4.215700000000003,4.0,0.0,1.0,3.0,75.43,3.0,5.0,3.0,2.0,170.0,7.0,0.0,8.0
CHEMBL298122,390.20557607200004,2.97637,3.0,1.0,0.0,2.0,99.28,4.0,6.0,3.0,3.0,150.0,7.0,0.0,6.01
CHEMBL3142751,506.19877643999996,2.1006,4.0,0.0,1.0,3.0,135.59,5.0,8.0,5.0,3.0,188.0,8.0,0.0,4.89
CHEMBL3142675,487.24710653600005,3.4704000000000024,4.0,0.0,1.0,3.0,93.89,3.0,7.0,5.0,2.0,188.0,9.0,0.0,5.0
CHEMBL325869,625.24310084,-0.8534299999999941,4.0,0.0,1.0,3.0,232.58999999999997,8.0,15.0,9.0,7.0,234.0,12.0,0.0,5.75
CHEMBL266349,429.237604472,0.8108700000000015,3.0,1.0,1.0,1.0,148.60999999999999,6.0,9.0,5.0,5.0,168.0,9.0,0.0,7.04625
CHEMBL327093,577.2860112080001,-0.3089999999999958,2.0,1.0,0.0,1.0,252.37,9.0,15.0,8.0,7.0,226.0,15.0,0.0,7.26
CHEMBL44883,354.205576072,1.9357699999999993,3.0,1.0,1.0,1.0,99.27999999999999,4.0,6.0,3.0,3.0,138.0,5.0,0.0,5.22
CHEMBL114715,438.295453696,0.3700700000000037,2.0,1.0,1.0,0.0,160.64,7.0,10.0,5.0,6.0,176.0,11.0,0.0,6.10333333333
CHEMBL3142628,457.236541852,3.461800000000002,4.0,0.0,1.0,3.0,84.66,3.0,6.0,4.0,2.0,176.0,8.0,0.0,7.44
CHEMBL47102,608.336255888,6.568070000000006,5.0,1.0,1.0,3.0,116.79,3.0,8.0,5.0,2.0,236.0,13.0,0.0,6.89
CHEMBL46845,504.273655632,4.565070000000002,4.0,1.0,1.0,2.0,116.79,3.0,8.0,5.0,2.0,196.0,9.0,0.0,7.8
CHEMBL47143,517.305290108,4.480270000000003,4.0,1.0,1.0,2.0,110.8,3.0,8.0,4.0,2.0,202.0,9.0,0.0,4.96
CHEMBL101030,216.115029752,2.570800000000001,3.0,1.0,1.0,1.0,26.3,0.0,2.0,2.0,0.0,84.0,2.0,0.0,7.14
CHEMBL44891,592.377726776,7.211670000000007,5.0,1.0,1.0,3.0,90.49,3.0,6.0,3.0,2.0,232.0,15.0,0.0,5.3
CHEMBL102081,216.115029752,2.570800000000001,3.0,1.0,1.0,1.0,26.3,0.0,2.0,2.0,0.0,84.0,2.0,0.0,7.04
CHEMBL341187,420.252526264,4.093570000000004,4.0,0.0,2.0,2.0,82.65,3.0,6.0,4.0,2.0,164.0,8.0,0.0,5.47
